iter	Passed	Remaining
0	0	69
1	1	59
2	1	54
3	2	51
4	2	50
5	3	50
6	3	49
7	4	49
8	4	49
9	5	48
10	5	48
11	6	47
12	7	46
13	7	46
14	7	45
15	8	44
16	9	44
17	10	50
18	11	50
19	12	51
20	13	51
21	14	50
22	14	48
23	15	47
24	15	46
25	16	45
26	16	44
27	17	43
28	17	42
29	18	42
30	19	43
31	19	42
32	20	41
33	21	40
34	21	39
35	21	39
36	22	38
37	22	37
38	23	36
39	23	35
40	25	36
41	26	36
42	27	36
43	28	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	31	30
51	32	29
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	23
61	38	23
62	38	22
63	39	22
64	41	22
65	42	21
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	55	7
88	56	6
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
