iter	Passed	Remaining
0	178	177860
1	179	89346
2	180	59836
3	180	45061
4	181	36187
5	182	30269
6	184	26232
7	185	23048
8	186	20569
9	187	18580
10	188	16964
11	189	15623
12	190	14490
13	192	13530
14	192	12673
15	193	11920
16	195	11287
17	196	10693
18	196	10161
19	197	9687
20	198	9258
21	200	8907
22	201	8563
23	202	8245
24	203	7942
25	204	7677
26	206	7430
27	207	7188
28	209	6998
29	212	6874
30	214	6705
31	216	6541
32	217	6362
33	217	6192
34	218	6031
35	219	5881
36	220	5744
37	221	5609
38	222	5486
39	226	5428
40	229	5364
41	230	5251
42	231	5143
43	231	5039
44	232	4941
45	233	4845
46	234	4753
47	235	4666
48	236	4587
49	237	4507
50	238	4432
51	239	4358
52	240	4288
53	240	4219
54	265	4556
55	289	4880
56	290	4808
57	291	4735
58	292	4669
59	293	4600
60	294	4537
61	295	4473
62	296	4412
63	298	4362
64	299	4303
65	301	4266
66	302	4218
67	305	4188
68	306	4138
69	307	4087
70	308	4037
71	309	3989
72	310	3941
73	311	3895
74	312	3849
75	312	3804
76	317	3810
77	319	3771
78	320	3731
79	321	3692
80	322	3653
81	322	3615
82	323	3572
83	324	3534
84	324	3496
85	325	3459
86	326	3421
87	326	3384
88	327	3347
89	327	3311
90	327	3276
91	328	3241
92	328	3207
93	333	3213
94	334	3183
95	335	3154
96	335	3123
97	336	3092
98	336	3063
99	337	3034
100	337	3005
101	338	2976
102	338	2948
103	339	2921
104	339	2896
105	340	2870
106	340	2844
107	341	2820
108	342	2797
109	342	2772
110	343	2748
111	343	2724
112	344	2700
113	344	2677
114	346	2666
115	352	2683
116	352	2662
117	353	2641
118	353	2620
119	354	2602
120	355	2583
121	356	2563
122	357	2547
123	358	2532
124	359	2513
125	359	2495
126	360	2476
127	364	2484
128	365	2470
129	366	2454
130	367	2439
131	368	2424
132	369	2408
133	370	2391
134	370	2374
135	371	2357
136	371	2340
137	372	2324
138	372	2307
139	373	2291
140	373	2275
141	373	2258
142	374	2243
143	374	2228
144	375	2213
145	380	2224
146	381	2212
147	381	2198
148	382	2185
149	383	2171
150	383	2158
151	384	2144
152	384	2131
153	385	2117
154	385	2103
155	386	2090
156	386	2077
157	387	2064
158	387	2051
159	388	2039
160	388	2026
161	389	2013
162	389	2001
163	390	1989
164	390	1977
165	391	1965
